ns=2;s=Fermentacao.Fermentacao.Global.TIC_611002.LR,atcoperador01AB,false
ns=2;s=Fermentacao.Fermentacao.Global.TIC_611001.LR,atcoperador01CD,false
ns=2;s=Fermentacao.Fermentacao.Global.TIC_612002.LR,atcoperador02AB,false
ns=2;s=Fermentacao.Fermentacao.Global.TIC_612001.LR,atcoperador02CD,false
ns=2;s=Fermentacao.Fermentacao.Global.TIC_613002.LR,atcoperador03AB,false
ns=2;s=Fermentacao.Fermentacao.Global.TIC_613001.LR,atcoperador03CD,false
ns=2;s=Fermentacao.Fermentacao.Global.TIC_614002.LR,atcoperador04AB,false
ns=2;s=Fermentacao.Fermentacao.Global.TIC_614001.LR,atcoperador04CD,false
ns=2;s=Fermentacao.Fermentacao.Global.TIC_615002.LR,atcoperador05AB,false
ns=2;s=Fermentacao.Fermentacao.Global.TIC_615001.LR,atcoperador05CD,false
ns=2;s=Fermentacao.Fermentacao.Global.TIC_616001.LR,atcoperador06,false
ns=2;s=Fermentacao.Fermentacao.Global.ME_611005_STS.Sts,BBFundoD6,false
ns=2;s=Fermentacao.Fermentacao.Global.DESATIVA_BIOCAL,BioCal_Geral,false
ns=2;s=Fermentacao.Fermentacao.Global.TIC_611002.SPR,BioCal_RSV_01AB,false
ns=2;s=Fermentacao.Fermentacao.Global.TIC_611001.SPR,BioCal_RSV_01CD,false
ns=2;s=Fermentacao.Fermentacao.Global.TIC_612002.SPR,BioCal_RSV_02AB,false
ns=2;s=Fermentacao.Fermentacao.Global.TIC_612001.SPR,BioCal_RSV_02CD,false
ns=2;s=Fermentacao.Fermentacao.Global.TIC_613002.SPR,BioCal_RSV_03AB,false
ns=2;s=Fermentacao.Fermentacao.Global.TIC_613001.SPR,BioCal_RSV_03CD,false
ns=2;s=Fermentacao.Fermentacao.Global.TIC_614002.SPR,BioCal_RSV_04AB,false
ns=2;s=Fermentacao.Fermentacao.Global.TIC_614001.SPR,BioCal_RSV_04CD,false
ns=2;s=Fermentacao.Fermentacao.Global.TIC_615002.SPR,BioCal_RSV_05AB,false
ns=2;s=Fermentacao.Fermentacao.Global.TIC_615001.SPR,BioCal_RSV_05CD,false
ns=2;s=Fermentacao.Fermentacao.Global.TIC_616001.SPR,BioCal_RSV_06,false
Saccharys.Saccharys.Global.Global.BIOCAL_FLAG,BioCal_STS_06,false
ns=2;s=Fermentacao.Fermentacao.Global.BIOCAL_WATCHDOG,BioCal_WD,false
ns=2;s=Fermentacao.Fermentacao.Global.AT_600001.Val_PV,BrixMust01,false
ns=2;s=Fermentacao.Fermentacao.Global.FT_611001.Val_PV,FlowMust_F01,false
ns=2;s=Fermentacao.Fermentacao.Global.FT_612001.Val_PV,FlowMust_F02,false
ns=2;s=Fermentacao.Fermentacao.Global.FT_613001.Val_PV,FlowMust_F03,false
ns=2;s=Fermentacao.Fermentacao.Global.FT_614001.Val_PV,FlowMust_F04,false
ns=2;s=Fermentacao.Fermentacao.Global.FT_615001.Val_PV,FlowMust_F05,false
ns=2;s=Fermentacao.Fermentacao.Global.FT_616001.Val_PV,FlowMust_F06,false
ns=2;s=Fermentacao.Fermentacao.Global.LT_611001.Val_PV,Level_F01,false
ns=2;s=Fermentacao.Fermentacao.Global.LT_612001.Val_PV,Level_F02,false
ns=2;s=Fermentacao.Fermentacao.Global.LT_613001.Val_PV,Level_F03,false
ns=2;s=Fermentacao.Fermentacao.Global.LT_614001.Val_PV,Level_F04,false
ns=2;s=Fermentacao.Fermentacao.Global.LT_615001.Val_PV,Level_F05,false
ns=2;s=Fermentacao.Fermentacao.Global.LT_616001.Val_PV,Level_F06,false
ns=2;s=Fermentacao.Enr_fermento.Global.LT_600013.Val_PV,LevelCuba01,false
ns=2;s=Fermentacao.Enr_fermento.Global.LT_600014.Val_PV,LevelCuba03,false
ns=2;s=Fermentacao.Enr_fermento.Global.LT_600012.Val_PV,LevelCubas,false
ns=2;s=Fermentacao.Fermentacao.Global.N12:0,LevelSP_F01,false
ns=2;s=Fermentacao.Fermentacao.Global.N12:3,LevelSP_F02,false
ns=2;s=Fermentacao.Fermentacao.Global.N12:6,LevelSP_F03,false
ns=2;s=Fermentacao.Fermentacao.Global.N12:9,LevelSP_F04,false
ns=2;s=Fermentacao.Fermentacao.Global.N12:12,LevelSP_F05,false
ns=2;s=Fermentacao.Fermentacao.Global.N12:100,LevelSP_F06,false
ns=2;s=Fermentacao.Enr_fermento.Global.LT_600005.Val_PV,LevelWheel01,false
ns=2;s=PLC5,PressaoLinhaResfri1,false
ns=2;s=PLC5,PressaoLinhaResfri2,false
Saccharys.Saccharys.Global.AT_616001.Val_PV,SCAcetatoD6,false
Saccharys.Saccharys.Global.AT_600012.Val_PV,SCAcetatoMosto,false
Saccharys.Saccharys.Global.AT_616002.Val_PV,SCEtanolD6,false
Saccharys.Saccharys.Global.AT_600013.Val_PV,SCEtanolMosto,false
Saccharys.Saccharys.Global.AT_616003.Val_PV,SCFrutose,false
Saccharys.Saccharys.Global.AT_600014.Val_PV,SCFrutoseMosto,false
Saccharys.Saccharys.Global.AT_616004.Val_PV,SCGlicerolD6,false
Saccharys.Saccharys.Global.AT_600015.Val_PV,SCGlicerolMosto,false
Saccharys.Saccharys.Global.AT_616005.Val_PV,SCGlicoseD6,false
Saccharys.Saccharys.Global.AT_600016.Val_PV,SCGlicoseMosto,false
Saccharys.Saccharys.Global.AT_616006.Val_PV,SCLactatoD6,false
Saccharys.Saccharys.Global.AT_600017.Val_PV,SCLactatoMosto,false
Saccharys.Saccharys.Global.AT_616007.Val_PV,SCManitolD6,false
Saccharys.Saccharys.Global.AT_600018.Val_PV,SCManitolMosto,false
Saccharys.Saccharys.Global.AT_616008.Val_PV,SCSacaroseD6,false
